Compound,0.02 V,0.1 V,0.5 V,1.0 V,5.0 V
10^4,-9.87713E-7,6.97242E-7,8.33533E-6,4.06327E-5,0.0023
10^4,-9.91136E-7,6.97242E-7,8.08478E-6,3.81647E-5,0.00225
10^4,-9.96083E-7,6.83472E-7,7.84958E-6,3.5756E-5,0.00221
10^4,-1.04896E-6,6.61767E-7,7.62947E-6,3.34142E-5,0.00219
10^4,-1.0546E-6,6.4111E-7,7.43353E-6,3.11435E-5,0.00216
10^4,-1.05961E-6,6.20005E-7,7.18994E-6,2.89877E-5,0.00212
10^4,-1.06163E-6,6.00241E-7,6.96322E-6,2.6949E-5,0.00209
10^4,-1.07428E-6,5.81687E-7,6.76305E-6,2.50371E-5,0.00206
10^4,-1.077E-6,5.5863E-7,6.54293E-6,2.32539E-5,0.00203
10^4,-1.08039E-6,5.38336E-7,6.34072E-6,2.15941E-5,0.002
10^4,-1.09089E-6,5.19127E-7,6.15739E-6,2.00508E-5,0.00198
10^4,-1.0925E-6,4.98584E-7,5.96127E-6,1.86524E-5,0.00195
10^4,-1.09911E-6,4.78699E-7,5.78961E-6,1.73306E-5,0.00193
10^4,-1.1094E-6,4.59389E-7,5.60693E-6,1.60512E-5,0.0019
10^4,-1.1094E-6,4.38179E-7,5.42398E-6,1.49096E-5,0.00194
10^4,-1.11763E-6,4.18322E-7,5.31061E-6,1.38911E-5,0.00193
10^4,-1.12218E-6,3.9585E-7,5.11726E-6,1.2945E-5,0.00192
10^4,-1.12492E-6,3.72459E-7,4.95289E-6,1.20571E-5,0.00189
10^4,-1.13241E-6,3.50715E-7,4.77513E-6,1.12434E-5,0.00186
10^4,-1.13808E-6,3.34254E-7,4.62032E-6,1.04682E-5,0.00182
10^4,-1.14622E-6,3.12345E-7,4.49E-6,9.78733E-6,0.00192
10^4,-1.15789E-6,2.87155E-7,4.32123E-6,1.04426E-5,0.00195
10^4,-1.16027E-6,2.64522E-7,4.17652E-6,8.42256E-6,0.002
10^4,-1.16968E-6,2.39505E-7,4.06686E-6,7.84134E-6,0.002
10^4,-1.17053E-6,2.15239E-7,3.89741E-6,7.27377E-6,0.002
10^4,-1.17755E-6,1.9326E-7,3.79677E-6,6.76636E-6,0.00198
10^4,-1.1838E-6,1.71969E-7,3.54295E-6,6.27568E-6,0.00195
10^4,-1.19452E-6,1.49226E-7,3.52472E-6,5.82537E-6,0.00192
10^4,-1.20047E-6,1.27829E-7,3.41612E-6,5.36781E-6,0.00189
10^4,-1.20799E-6,1.05695E-7,3.28668E-6,4.97704E-6,0.00185
10^4,-1.21097E-6,9.55618E-8,3.19644E-6,4.5561E-6,0.00182
10^4,-1.21915E-6,1.17559E-8,3.08419E-6,4.18647E-6,0.00177
10^4,-1.22327E-6,1.14019E-8,2.94109E-6,3.79337E-6,0.00173
10^4,-1.22711E-6,1.05787E-8,2.81219E-6,3.45764E-6,0.00168
10^4,-1.23957E-6,1.08724E-10,2.72775E-6,3.14188E-6,0.00164
10^4,-1.23977E-6,-1.95508E-10,2.58207E-6,2.7861E-6,0.00159
10^4,-1.24969E-6,-1.27516E-9,2.49042E-6,2.50738E-6,0.00154
10^4,-1.25022E-6,-1.02025E-8,2.41897E-6,2.2028E-6,0.00149
10^4,-1.25653E-6,-1.42107E-8,2.30158E-6,1.90277E-6,0.00144
10^4,-1.26553E-6,-1.4508E-7,2.20205E-6,1.64108E-6,0.0014
10^4,-1.2663E-6,-1.57725E-7,2.07469E-6,1.3887E-6,0.00134
10^4,-1.27012E-6,-1.76219E-7,1.97636E-6,1.19057E-6,0.00129
10^4,-1.27914E-6,-1.92265E-7,1.9257E-6,2.22819E-6,0.00124
10^4,-1.28366E-6,-1.93286E-7,1.78269E-6,1.78175E-6,0.0012
10^4,-1.29657E-6,-1.93286E-7,1.66577E-6,5.00747E-7,0.00116
10^4,-1.30461E-6,-2.11222E-7,1.59569E-6,7.68942E-7,0.00113
10^4,-1.30538E-6,-2.11222E-7,1.48901E-6,4.05984E-7,0.00111
10^4,-1.30886E-6,-2.29449E-7,1.48901E-6,2.55994E-9,0.00111
10^4,-1.31582E-6,-2.50822E-7,1.48901E-6,-1.21264E-7,0.00109
10^4,-1.32018E-6,-2.7009E-7,1.48901E-6,-2.22528E-7,0.00105
10^4,-1.32905E-6,-2.91075E-7,1.40844E-6,-6.36051E-7,0.001
10^4,-1.33271E-6,-3.12278E-7,1.40112E-6,-9.46863E-7,9.53355E-4
10^4,-1.33584E-6,-3.32537E-7,1.37083E-6,-1.04601E-6,9.07737E-4
10^4,-1.34404E-6,-3.5343E-7,1.18188E-6,-1.13176E-6,8.69854E-4
10^4,-1.34676E-6,-3.74782E-7,1.16421E-6,-1.17689E-6,8.22823E-4
10^4,-1.35695E-6,-3.95153E-7,1.09746E-6,-1.29837E-6,7.77453E-4
10^4,-1.36257E-6,-4.1566E-7,9.43506E-7,-1.45614E-6,7.42932E-4
10^4,-1.37302E-6,-4.36696E-7,9.27869E-7,-1.64568E-6,7.28382E-4
10^4,-1.37344E-6,-4.58156E-7,8.55915E-7,-1.83117E-6,6.92497E-4
10^4,-1.37731E-6,-4.77732E-7,7.79728E-7,-1.96253E-6,6.44709E-4
10^4,-1.38351E-6,-4.99568E-7,5.79954E-7,-2.15516E-6,5.97331E-4
10^4,-1.39298E-6,-5.21742E-7,5.53518E-7,-2.286E-6,5.47242E-4
10^4,-1.39635E-6,-5.42194E-7,5.46012E-7,-2.4151E-6,4.95226E-4
10^4,-1.4061E-6,-5.64218E-7,4.61134E-7,-2.61108E-6,4.36963E-4
10^4,-1.40787E-6,-5.99762E-7,3.75195E-7,-2.70952E-6,3.89811E-4
10^4,-1.416E-6,-6.07486E-7,3.2084E-7,-2.84022E-6,3.65791E-4
10^4,-1.41765E-6,-6.26757E-7,2.89205E-7,-3.00418E-6,3.22478E-4
10^4,-1.42054E-6,-6.46762E-7,2.13842E-7,-3.08281E-6,2.92776E-4
